date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:35	162052/162052	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Sep%202025%2001:25:35%20GMT	https://themexriver.com/wp/gtbus/	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/index.html	(from )
01:25:36	634/634	---M-Z	200	added ('OK')	text/plain	etag:%22bcd-66c9a927-4a7b9cfb017aac8e;gz%22	https://themexriver.com/robots.txt		(from )
01:25:38	6349/6349	---M-Z	200	added ('OK')	application/rss+xml	etag:%22b30cb5d86b002f9962617bf225656f33%22	https://themexriver.com/wp/gtbus/comments/feed/	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/comments/feed/index.html	(from https://themexriver.com/wp/gtbus/)
01:25:39	2894/2894	---M-Z	200	added ('OK')	text/css	etag:%22b4e-66c1b4ac-b3125f6659a9c665;gz%22	https://themexriver.com/wp/gtbus/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.9.7	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/plugins/contact-form-7/includes/css/styles1014.css	(from https://themexriver.com/wp/gtbus/)
01:25:39	12521/12521	---MCZ	200	added ('OK')	application/rss+xml	etag:%22b30cb5d86b002f9962617bf225656f33%22	https://themexriver.com/wp/gtbus/feed/	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/feed/index.html	(from https://themexriver.com/wp/gtbus/)
01:25:39	17688/17688	---M-Z	200	added ('OK')	text/css	etag:%224518-66c1b4ad-23adca0c24293c51;gz%22	https://themexriver.com/wp/gtbus/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=9.1.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/plugins/woocommerce/assets/css/woocommerce-layout457f.css	(from https://themexriver.com/wp/gtbus/)
01:25:40	7043/7043	---M-Z	200	added ('OK')	text/css	etag:%221b83-66c1b4ad-d2df397094fd8169;gz%22	https://themexriver.com/wp/gtbus/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=9.1.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen457f.css	(from https://themexriver.com/wp/gtbus/)
01:25:41	78164/78164	---M-Z	200	added ('OK')	text/css	etag:%2213154-66c1b4ad-b387dabf6440ba3;gz%22	https://themexriver.com/wp/gtbus/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=9.1.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/plugins/woocommerce/assets/css/woocommerce457f.css	(from https://themexriver.com/wp/gtbus/)
01:25:41	194907/194907	---M-Z	200	added ('OK')	text/css	etag:%222f95b-66c1b4ac-252157f07f206ee2;gz%22	https://themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/bootstrap.min.css?ver=6.8.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/bootstrap.min6c2d.css	(from https://themexriver.com/wp/gtbus/)
01:25:42	504861/504861	---M-Z	200	added ('OK')	text/css	etag:%227b41d-66c1b4ac-f3ca5dc2e7bb8f20;gz%22	https://themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/all.min.css?ver=6.8.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/all.min6c2d.css	(from https://themexriver.com/wp/gtbus/)
01:25:43	68606/68606	---M-Z	200	added ('OK')	text/css	etag:%2210bfe-66c1b4ac-f6862203d5fb6d2d;gz%22	https://themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/animate.css?ver=6.8.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/animate6c2d.css	(from https://themexriver.com/wp/gtbus/)
01:25:44	7654/7654	---M-Z	200	added ('OK')	text/css	etag:%221de6-66c1b4ac-5bc7621bc1c23fbc;gz%22	https://themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/magnific-popup.css?ver=6.8.2	C:/My%20Web%20Sites/gtbus/themexriver.com/wp/gtbus/wp-content/themes/gtbus/assets/css/magnific-popup6c2d.css	(from https://themexriver.com/wp/gtbus/)
